article_id,dataset_id,type_true,type_pred,cat_id,cat_type,cat_article_id
10.1038_s41597-019-0101-y,SAMN10880022,,Primary,FP,FP,TP
10.5194_essd-2023-198,https://doi.org/10.12770/ec81af02-e049-4f99-8cc6-748ee0550d32,,Primary,FP,FP,TP
10.1007_s00382-022-06361-7,https://doi.org/10.6075/j0154,,Primary,FP,FP,TP
10.1186_s13073-020-00727-4,NC_010227.2,,Secondary,FP,FP,FP
10.1186_s12879-019-3766-0,https://doi.org/10.2169/internalmedicine.49.4117,,Primary,FP,FP,FP
10.1107_s2059798322005691,https://doi.org/10.18150/r3btbm,,Primary,FP,FP,TP
10.5194_essd-12-1287-2020,https://doi.org/10.17882/59867,Primary,Primary,TP,TP,TP
10.1016_j.jobe.2023.107105,https://doi.org/10.5281/zenodo.8014149,Primary,,FN,FN,TP
10.1029_2019pa003774,https://doi.org/10.2458/azu_js_rc.55.16947,,Primary,FP,FP,TP
10.7717_peerj.10452,SAMN16233644,Primary,Primary,TP,TP,TP
10.5194_essd-2023-187,https://doi.org/10.17882/94052,,Primary,FP,FP,TP
10.21105_joss.04237,https://doi.org/10.5067/modis/mod13a2.006,,Primary,TP,FP,TP
10.1186_s40168-018-0532-2,IPR000515,,Secondary,FP,FP,FP
10.1098_rsos.160417,https://doi.org/10.5061/dryad.2bs69.1,Primary,,FN,FN,TP
10.3390_v11060565,EPI954554,Secondary,Secondary,TP,TP,TP
10.1186_s12864-019-6131-1,SRR6300650,,Secondary,FP,FP,FP
10.1186_s12879-019-3766-0,https://doi.org/10.5402/2012/256261,,Primary,FP,FP,FP
10.5194_essd-2023-198,https://doi.org/10.17882/94147,Primary,Primary,TP,TP,TP
10.1029_2021ea001703,https://doi.org/10.11606/issn.2316-8978.v7i0p149-160,,Primary,FP,FP,TP
10.1371_journal.pone.0159387,PRJNA287300,Secondary,Secondary,TP,TP,TP
10.1136_jitc-2021-003114,https://doi.org/10.2967/jnumed.118.222844,,Primary,FP,FP,TP
10.3133_ofr20231026,https://doi.org/10.5066/f7dz0771,Secondary,,TP,FN,TP
10.1617_s11527-023-02260-3,https://doi.org/10.1180/clm.2020.30,,Primary,FP,FP,TP
10.1186_s13072-019-0285-6,GSE73972,,Secondary,FP,FP,FP
10.3897_zookeys.500.9360,https://doi.org/10.5962/bhl.title.46846,,Primary,FP,FP,TP
10.1371_journal.pone.0212669,E-GEOD-48350,Secondary,Secondary,TP,TP,TP
10.21105_joss.04237,https://doi.org/10.15485/1843541,,Primary,TP,FP,TP
10.12688_f1000research.11698.1,https://doi.org/10.5256/f1000research.12639.r25445,,Primary,FP,FP,TP
10.1242_bio.035071,https://doi.org/10.2305/iucn.uk.20161.rlts.t88425992a88425995.en,,Primary,FP,FP,TP
10.7554_elife.73695,https://doi.org/10.5607/en.2012.21.4.141,,Primary,FP,FP,TP
10.1080_19475683.2023.2226196,https://doi.org/10.15468/dl.nvnscr,,Primary,TP,FP,TP
10.1101_2022.07.21.501061,https://doi.org/10.15468/dl.uejpg6,Primary,Primary,TP,TP,TP
10.7717_peerj.10452,SAMN16233651,Primary,Primary,TP,TP,TP
10.1080_19475683.2023.2226196,https://doi.org/10.15468/dl.sz5x6g,,Primary,TP,FP,TP
10.1098_rsos.170796,https://doi.org/10.5061/dryad.2g5f9,Primary,Primary,TP,TP,TP
10.1128_spectrum.00422-24,PF00248,Secondary,Secondary,TP,TP,TP
10.1371_journal.pcbi.1011828,PXD032899,Secondary,Secondary,TP,TP,TP
