article_id,dataset_id,type_true,type_pred,cat_id,cat_type
10.1038_s41597-019-0101-y,https://doi.org/10.13039/501100007934,,Primary,FP,FP
10.7554_elife.73695,https://doi.org/10.1098/rsbl.2008.0490,,Primary,FP,FP
10.1038_s41597-022-01555-4,https://doi.org/10.13039/100000054,,Primary,FP,FP
10.1039_d2cc00847e,https://doi.org/10.1039/c7cc04912a,,Primary,FP,FP
10.1128_JVI.01717-21,EPI_ISL_293290,Primary,,TP,FN
10.3390_v11060565,EPI954556,Secondary,Secondary,TP,TP
10.1145_3461702.3462538,https://doi.org/10.3886/icpsr27646.v1,,Primary,TP,FP
10.1098_rspb.2015.2726,https://doi.org/10.1038/nature07986,,Primary,FP,FP
10.1103_physrevresearch.4.023008,https://doi.org/10.1103/physrevlett.96.067601,,Primary,FP,FP
10.1186_s12870-019-1632-2,SAMN10345061,,Primary,FP,FP
10.1038_s41396-020-00885-8,PF15461,Secondary,Secondary,TP,TP
10.1186_s12859-016-0922-z,SRR879800,,Secondary,FP,FP
10.1111_gcb.13914,https://doi.org/10.15131/shef.data.5414629,Primary,,FN,FN
10.7554_eLife.63194,https://doi.org/10.5061/dryad.fbg79cnsr,,Primary,FP,FP
10.3389_feart.2023.1205211,https://doi.org/10.1130/g32460,,Primary,FP,FP
10.1590_1519-6984.192126,Missing,Missing,,FN,FN
10.7554_elife.73695,https://doi.org/10.1038/ncomms12468,,Primary,FP,FP
10.1186_s12967-020-02311-1,GSE31312,,Secondary,FP,FP
10.1039_d2cc00847e,https://doi.org/10.1021/acs.joc.9b00561,,Primary,FP,FP
10.1186_s12918-018-0620-8,Missing,Missing,,FN,FN
10.1107_s1600536810036299,Missing,Missing,,FN,FN
10.1111_2041-210x.13817,https://doi.org/10.1111/2041210x.13817,,Primary,FP,FP
10.3133_ofr20201035,https://doi.org/10.3133/ofr20191042,,Primary,FP,FP
10.12688_f1000research.13483.1,https://doi.org/10.1159/000027401,,Primary,FP,FP
10.4025_actasciagron.v40i1.39392,Missing,Missing,,FN,FN
10.1186_s12934-018-1005-9,https://doi.org/10.13039/501100001321,,Primary,FP,FP
10.1016_j.cpc.2024.109087,https://doi.org/10.1143/jpsj.18.516,,Primary,FP,FP
10.1007_s00259-022-06053-8,https://doi.org/10.7937/k9/tcia.2017.7hs46erv,Secondary,,FN,FN
10.1371_journal.pcbi.1011828,E-PROT-102,Secondary,Secondary,TP,TP
10.1038_s41597-023-02280-2,EMPIAR-11057,Secondary,Secondary,TP,TP
10.1186_s13068-018-1316-4,Missing,Missing,,FN,FN
10.7717_peerj.10452,SAMN16233647,Primary,Primary,TP,TP
10.1128_JVI.01717-21,EPI_ISL_445002,,Secondary,TP,FP
10.3389_feart.2023.1205211,https://doi.org/10.1002/2015gc005955,,Primary,FP,FP
10.1186_s12862-015-0558-z,https://doi.org/10.6070/h4pg1pr0,,Primary,FP,FP
